S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Buritama,3508108,buritamense,TIAGO LUIZ DE OLIVEIRA,327.344,17210,52.64,17658,99.67,0.763,11.3,143074742.8,127076209.8,43358.73,
Buritizal,3508207,buritinense,DANIEL SARRETA,266.42,4356,16.35,4458,99.46,0.735,-,60912326.53,54500859.99,70148.67,
Cabr&aacute;lia Paulista,3508306,cabraliense,ODEMIL ORTIZ DE CAMARGO,239.974,4299,17.91,4360,99.55,0.694,-,39777492.28,36417865.73,41284.27,
Cabre&uacute;va,3508405,cabreuvano,NOEMI MEDEIROS BERNARDES,260.234,47011,180.65,48654,99.97,0.738,8.22,415020740.8,412948379.9,154027.39,
Ca&ccedil;apava,3508504,ca&ccedil;apavense,YAN LOPES DE ALMEIDA,369.558,96202,260.72,100071,98.4,0.788,15.37,546697312.2,485187958.2,67735.3,
Cachoeira Paulista,3508603,cachoeirense,BRENO BARBOSA ANAYA XAVIER,288.747,31564,109.60,32534,98.43,0.764,-,146858581.3,143763552.5,26859.28,
Caconde,3508702,cacondense,JOS&Eacute; AFONSO DE PAIVA,468.998,17101,36.52,17228,99.66,0.720,15.79,97395379.47,84370895.51,32402.16,
Cafel&acirc;ndia,3508801,cafelandense,TAIS FERNANDA MAIMONI CONTIERI SANTANA,920.28,16654,18.10,16907,98.55,0.742,11.11,119390347,103614048.2,55880.58,
Caiabu,3508900,caiabuense,SUELEN NARA MATOS MATIVE,252.704,3712,14.65,3726,100,0.729,-,35945580.52,29285389.67,23711.06,
Caieiras,3509007,caieirense,GILMAR SOARES VICENTE,97.745,95032,973.27,98549,98.34,0.781,13.95,565222575.1,514299657.6,57955.42,
Caiu&aacute;,3509106,caiuense,JAYME SALVADOR ALVES,551.159,5466,9.92,5599,100,0.697,31.25,54665014.41,50094586.38,20471.13,
Cajamar,3509205,cajamarense,KAUAN BERTO SOUSA SANTOS,131.521,92689,705.47,98365,99.04,0.728,15.33,1261246209,1154550748,312708.11,
Cajati,3509254,cajatiense,LUIZ HENRIQUE KOGA,454.489,28515,62.75,29262,98.92,0.694,21.9,216818009.7,201539634.2,69706.13,
Cajobi,3509304,cajobiense,MARCIO DONIZETI BARBARELLI,176.929,9133,51.62,9210,98.88,0.734,-,62454637.49,56241487.97,30110.66,
Cajuru,3509403,cajuruense,ALEX MORETINI,660.088,23830,36.10,24233,98.67,0.713,19.69,122748289.4,121135629.4,47158.98,
Campina do Monte Alegre,3509452,campinomontealegrense,MARCELO LISB&Ocirc;A MACHADO,184.479,5954,32.27,6090,98.48,0.717,-,49235546.76,43977749.37,35511.64,
Campinas,3509502,campineiro,D&Aacute;RIO JORGE GIOLO SAADI,794.57,1139047,1433.54,1187974,98.17,0.805,8.65,9177638154,9363240384,80741.47,
Campo Limpo Paulista,3509601,campo-limpense,ADEILDO NOGUEIRA DA SILVA,79.504,77632,977.70,79781,99.58,0.769,12.49,478044190.7,439244344.2,41657.24,
Campos do Jord&atilde;o,3509700,jordanense,CARLOS EDUARDO PEREIRA DA SILVA,289.981,46974,161.99,47956,98.64,0.749,12.18,393287886.7,395669211.8,41444.19,
Campos Novos Paulista,3509809,campos-novense,FLAVIO FERMINO EUFLAUZINO,484.199,4888,10.10,5003,100,0.706,20,60856532.45,54071041.4,70027.52,
Canan&eacute;ia,3509908,cananeiense,ANDRE NOGUEIRA SANCHES,1237.354,12289,9.93,12491,98.71,0.720,6.33,96153007.61,85234147.92,26897.03,
Canas,3509957,canense,GUSTAVO ZANIN LUCENA FAMADAS,53.261,4931,92.58,5068,100,0.704,12.66,37264951.21,37543598.5,24542.09,
C&acirc;ndido Mota,3510005,c&acirc;ndido-motense,ERALDO JOSE PEREIRA,595.811,29449,49.43,30157,99.72,0.747,9.01,211924415.9,198836904.3,84306.94,
C&acirc;ndido Rodrigues,3510104,c&acirc;ndido-rodriguense,TIAGO ALEX RAVAZZI,70.892,2889,40.75,2959,100,0.789,-,37480832.78,38628518.63,54673.16,
Canitar,3510153,canitarense,JOEL RODRIGUES,57.459,6283,109.35,6589,98.92,0.680,20.41,45962523.77,40615943.09,34748.99,
Cap&atilde;o Bonito,3510203,cap&atilde;o-bonitense,JULIO FERNANDO GALV&Atilde;O DIAS,1640.229,46337,28.25,47409,99.27,0.721,8.5,282593549.7,260950760.8,36016.18,
Capela do Alto,3510302,capelense,HENRIQUE DANIEL LEME,169.89,22866,134.59,23777,89.75,0.699,3.62,143157013.7,122857725.2,23443.01,
Capivari,3510401,capivariano,VITOR HUGO RICCOMINI,322.878,50068,155.07,51369,96.46,0.750,11.31,444924418.9,412458901,76385.32,
Caraguatatuba,3510500,caraguatatubense,MATEUS VENEZIANI DA SILVA,484.947,134873,278.12,142248,99.37,0.759,11.06,1404905153,1340334903,43172.58,
Carapicu&iacute;ba,3510609,carapicuibano,JOSE ROBERTO DA SILVA,34.234,386984,11201.99,398236,97.19,0.749,14.26,1071515152,912610417.3,21801.46,
Cardoso,3510708,cardosense,LU&Iacute;S PAULO BEDNARSKI PEDRASSOLLI,639.248,11345,17.75,11476,100,0.722,9.43,87705969.1,84749750.29,38785.77,
Casa Branca,3510807,casa-branquense,ANTONIO EDUARDO MAR&Ccedil;ON NOGUEIRA,864.225,28083,32.50,28779,99.08,0.730,11.15,214245408.6,191880957,53209.39,
C&aacute;ssia dos Coqueiros,3510906,cassiano,SILVIO SANTOS DOS REIS FARIA,191.683,2799,14.60,2861,100,0.734,-,33730425.87,29262324.21,109344.83,
Castilho,3511003,castilhense,PAULO DUARTE BOAVENTURA,1065.318,19977,18.75,20485,100,0.731,9.8,182453257.7,154607421.2,113908.03,
Catanduva,3511102,catanduvense,OSVALDO DE OLIVEIRA ROSA,291.926,115791,398.46,119275,98.8,0.785,13.01,779570473.6,813801631.9,60712.43,
